Dig Sites:
4558.58,20210,243.972
6431.62,20975.5,144.568
6668.61,18077.9,140.157
12502.2,21591.9,74.3908
14707.3,22233.9,62.4622
16361.8,20428.5,15.6661
7052.04,11959.2,82.1399
6687.23,13218.3,157.836
8412.84,13384.6,69.5488
10777.3,15023.1,119.449
11671.7,16612.6,57.7116
13162.8,17358.7,17.8818
10686.5,11959.8,50.8515
17555.1,16525,59.7923
21348.8,13400.6,38.8455
22856.9,13667.3,31.2702
21481,10836.4,11.7107
18952.3,10423.6,133.464
16703.1,9100.33,36.9912
21825.1,5630.14,2.51852
20128.7,8044,40.3097
19301.6,10215,113.106
19462.6,12443.1,111.931
20073.3,12914.2,123.329
20087,20046.2,17.5623
20026.7,18846.6,62.0433
23324.6,20619.1,32.1148
25183.3,23522.3,1.01437
28255.8,23904.1,14.7566
23837.8,16560.4,6.02161
3008.39,20120.6,46.8814
2238.56,22156.9,99.8674
2522.77,22442.3,70.2274
5531.9,12849.1,144.128
8429.24,12264,56.0343
8253.61,17007.2,187.534
11229.2,18248.4,71.4813
3843.16,14136.2,48.8877
3979.83,14038.6,42.5258
8533.46,15910.6,121.905

Spawn Cartels
7763.72,20725.1,150.063
7885.37,14631.9,278.722
8316.64,10062.4,75.94
8406.55,18252.4,180.024
18095.3,19181.3,18.7776
18312.6,15526.3,47.4183
23345.8,24188.8,4.45102
22141.4,13600,19.88
12477.6,15195.2,74.4683
16592.4,19007,35.2815
12812.9,16672.4,87.8891
11435.2,14241.5,21.3079
4223.51,15051,18.1018
20891.2,19225.4,10.84
20889.8,14623.2,2.6604
13592.6,12194.3,15.6311
12303.1,8868.76,123.894
23055.3,7284,49.0652
21319.5,10548.8,15.4091
17884.5,10707.4,77.4577
7861.64,16662.9,252.632
6029.1,10481,40.0835
25412,20346.8,9.74436
23624.3,21078.4,103.277
27046.8,21480.7,21.0093
